,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat
6814,Hofstra Northwell School of Medicine,MD/PhD Program,32000.0,,2016-2017,3rd,,-73.5978385,40.7177825
6816,Michigan State University (MSU),Chemistry,25500.0,1.24,2016-2017,1st,If you have masters degree or 1 year teaching experience you will get this amount. Otherwise 24400.,-84.481719,42.731303
6817,Pennsylvania State University (Penn State),Bioengineering,24654.0,1.1,2016-2017,1st,,-77.86414400000001,40.801520749999995
6818,University of Georgia (UGA),Chemistry,19984.0,0.94,2016-2017,5th,,43.881434770301,42.3842114527972
6819,Georgia Institute of Technology (Georgia Tech),Aerospace,22700.0,0.97,2016-2017,1st,,-84.3926795,33.78023525
6820,University of Kansas (KU),Molecular and Integrative Physiology/PhD,23025.0,1.13,2016-2017,5th,,47.5906041080513,29.3412115743027
6822,University of Pennsylvania,English,30000.0,1.24,2016-2017,3rd,,-75.191259,39.9492625
6823,Drexel University (DU),Microbiology & mmunology,28000.0,1.16,2016-2017,5th,"Very recent salary bump from $27,000",-77.039427,38.900666
6824,University of Vermont (UVM),Pharmacology,26200.0,1.01,2016-2017,3rd,,-73.1972305,44.477892999999995
6825,Columbia University (CU),Microbiology and Immunology,37700.0,1.27,2016-2017,3rd,,-74.08083,4.59889
6826,"University of Illinois , Chicago (UIC)",Chemistry,25100.0,1.03,2016-2017,1st,,-87.650264,41.873436
6827,Columbia University (CU),Medical Campus,35100.0,1.18,2015-2016,1st,,-74.08083,4.59889
6828,"University of California , San Francisco (UCSF)",TETRAD,36000.0,1.2,2016-2017,4th,,-122.458398,37.763313
6829,Stanford University (SU),,36000.0,1.25,2016-2017,3rd,,-115.114218,36.002823
6831,"University at Buffalo , SUNY",School Psychology,8000.0,0.38,2016-2017,4th,,103.776405,1.328776
6832,Case Western Reserve University,Genetics,28500.0,1.43,2016-2017,1st,,-81.609739,41.504526
6833,"University of California , Davis (UCD)",Pharmacology & Toxicology ,25000.0,1.04,2015-2016,2nd,Full tuition and health insurance paid for. This is pre-QE which has a small 3k bump in stipend afterwards. ,-121.75182699999999,38.539555
6834,Cornell University (CU),Chemistry,34000.0,1.4,2016-2017,1st,,-74.08083,4.59889
6835,Wesleyan University,Biology,30000.0,1.19,2016-2017,,,120.975462,15.484891
6836,University of Utah,Biochemistry,27000.0,1.21,2016-2017,3rd,,-111.837882,40.769755
6837,Boston University (BU),Pharmacology,32500.0,1.13,2016-2017,1st,,-71.104588,42.350218
6838,"University of California , Irvine (UCI)",Pharmacology,30000.0,1.03,2015-2016,4th,Cost of living in orange county is pretty high ,-117.841987,33.649718
6840,Indiana University,Microbiology and Immunology,23500.0,1.37,2013-2014,4th,,-86.520913,39.16719
6841,University of Florida (UF),Horticulture,20500.0,0.9,2016-2017,1st,,-81.197224,28.605102
6842,"University of Texas , San Antonio (UTSA)",Biology,26000.0,1.25,2016-2017,,,-98.478763,29.41676
6843,George Mason University (GMU),Biology,16364.0,0.54,2016-2017,5th,Summer pay contingent upon yearly award ,-82.35062049999999,34.849194499999996
6844,University of Missouri (MU),Chemistry,18500.0,1.16,2014-2015,5th,,-117.319692,34.173184
6845,Northeastern University (NU),Bioengineering ,29750.0,1.04,2016-2017,4th,"Our contracts are semester-by-semester too, so we don't always know if we're getting paid the next semester or not.  Sometimes people are fine, sometimes they get screwed. ",-71.087029,42.339604
6846,"University at Buffalo , SUNY",Physiology,23200.0,1.26,2009-2010,1st,,103.776405,1.328776
6847,University of Iowa (UI),MNPC,26000.0,1.17,2016-2017,5th,,-91.580951,41.674908
6848,Oklahoma State University (OSU),Physiological Sciences,24084.0,1.24,2016-2017,3rd,,-95.988563,36.163864
6849,Ohio State University (OSU),Chemical and Biomolecular Engineering,27100.0,1.35,2016-2017,1st,"Includes ""distinguished university fellowship"" and higher rate for this dept.",-83.029862,40.020121
6850,University of Florida (UF),Psychology,14100.0,0.62,2016-2017,2nd,,-81.197224,28.605102
6851,"University of Maryland , Baltimore (UMB)",Neuroscience,28000.0,1.09,2016-2017,1st,,-76.626143,39.287555
6852,Durham university,Biology,13863.0,,2016-2017,3rd,,-1.5738085000000002,54.77063750000001
6853,Thomas Jefferson University,,29000.0,1.2,2016-2017,6th and up,,-75.157348,39.949751500000005
6854,Nottingham Trent University,School of Science and Technology,19600.0,,2016-2017,,"~15000 P.A, essentially full time minimum wage in the UK.",-1.1524640000000002,52.956867
6855,University of Virginia (UVA),Pathology/BIMS,28500.0,1.25,2016-2017,3rd,,-78.5039985,38.035165
6856,"University of Minnesota , Twin Cities (UM)",Micab,24100.0,1.2,2011-2012,4th,,51.4,25.42
6857,"University of Maryland , Baltimore (UMB)",Molecular Microbiology and Immunology,29000.0,1.13,2016-2017,4th,,-76.626143,39.287555
6858,"University of California , San Diego (UCSD)",Cognitive Sciences,23000.0,0.87,2016-2017,1st,After tuition is removed. ,-122.0575945,36.9901525
6859,,Biomedical Sciences,20000.0,,2016-2017,,,,
6860,College of William and Mary (W&M),Biology,15900.0,,2014-2015,1st,,-112.03,46.59
6862,Wayne State University,Chemistry ,25000.0,1.2,2016-2017,2nd,,-83.0696575,42.3568145
6863,SUNY Upstate Medical Center,Cell and Developmental Biology/College of Graduate Studies,24780.0,1.16,2016-2017,6th and up,A recently negotiated contract brought salary up to ~$25k for a Graduate Assistant.  Fees are higher before you pass your qualifying exam (~$800 per year).  Cost of living in Syracuse is relatively low unless you live close to downtown.  Parking options at Upstate range from $35-80 per month.,34.0,51.0
6864,Washington University in St. Louis (Wash U),Biology and Biomedical Sciences ,29500.0,1.43,2016-2017,3rd,,-90.311359,38.648015
6865,University of Rochester (UR),Biochemistry,27800.0,1.3,2016-2017,4th,,7.497353,46.308815
6866,"University of Texas Southwestern Medical Center , Dallas",MSTP,34500.0,1.6,2016-2017,1st,,-96.858624,32.811842
6867,University of Washington (UW),Genome Sciences,30940.0,1.33,2016-2017,6th and up,,-122.3076595,47.654538
6868,"University of California , Davis (UCD)",Chemistry,27100.0,1.13,2016-2017,3rd,Insurance is also provided but is terrible. The cost of living in Davis is 55% above the national average.,-121.75182699999999,38.539555
6869,Drexel University (DU),Engineering,25000.0,1.04,2016-2017,2nd,,-77.039427,38.900666
6870,Duke University (DU),pathology,29561.0,1.33,2016-2017,4th,,-78.9371308,36.0060219
6871,Vanderbilt University,Chemistry,33400.0,1.45,2016-2017,2nd,,-86.80421050000001,36.146879999999996
6872,University of Montana (UM),DBS,19400.0,0.88,2016-2017,3rd,"They tell you that the stipend is 21,000 when you apply, but they leave out the fact that 6,000 of that is not guaranteed. For summer you have to go on an RA or pay your own way. People in my cohort have been forced to pick up a secret second job. Fees are also 1/10 of our income, rent (through the university!) rises every year but our stipend does not. ",-113.977146,46.856083
6873,"University of Michigan , Ann Arbor (UM)",Program in Biomedical Sciences,29000.0,1.26,2016-2017,2nd,,-83.73849799999999,42.2771875
6874,Johns Hopkins University (JHU),Biomedical Engineeirng,32000.0,1.24,2016-2017,5th,"Approx. $32, a little less.",-76.6203555,39.328937499999995
6875,University of Oregon (UO),Biology,25500.0,1.22,2016-2017,3rd,,-123.072036,44.048269
6876,"University of Colorado , Denver (UCD)",Molecular Biology,27500.0,1.23,2016-2017,2nd,,-104.901369,39.760437
6877,"University at Buffalo , SUNY",structural biology,23700.0,1.13,2016-2017,2nd,,103.776405,1.328776
6878,"University of Illinois , Chicago (UIC)",Pharmacology,29500.0,1.22,2016-2017,5th,,-87.650264,41.873436
6879,"Rutgers the State University of New Jersey , New Brunswick",Neuroscience,29600.0,1.15,2016-2017,3rd,,-74.447763,40.50005625
6880,University of Cambridge,Oncology,7710.0,,2016-2017,1st,,0.136473,52.186507
6881,"Louisiana State University School of Medicine , Shreveport",Cell Biology and Anatomy,23800.0,1.29,2009-2010,4th,,-93.7652,32.5222
6882,"Louisiana State University School of Medicine , Shreveport",Cell Biology and Anatomy,23800.0,1.29,2008-2009,3rd,,-93.7652,32.5222
6883,"Louisiana State University School of Medicine , Shreveport",Cell Biology and Anatomy,21800.0,1.18,2007-2008,2nd,,-93.7652,32.5222
6884,"Louisiana State University School of Medicine , Shreveport",Cell Biology and Anatomy,18800.0,1.02,2006-2007,1st,,-93.7652,32.5222
6885,University of South Carolina (USC),Chemistry and Biochemistry,22890.0,1.01,2016-2017,3rd,,-80.375953,33.933773
6886,University of Pennsylvania,Biology Department,30000.0,1.24,2016-2017,3rd,,-75.191259,39.9492625
6888,Emory University,Molecular and Systems Pharmacology,29175.0,1.25,2016-2017,2nd,"Pay and fees are not exact, but should be very close.",-84.38642250000001,33.76855425
6889,University of Washington (UW),Biochemistry,30400.0,1.31,2016-2017,1st,,-122.3076595,47.654538
6890,California state university Northridge,BIOLOGY,13000.0,,2016-2017,3rd,,-118.531647,34.239649
6891,Boston University (BU),Biology ,31000.0,1.08,2016-2017,6th and up,,-71.104588,42.350218
6892,"University of California , Los Angeles (UCLA)",Ecology and Evolutionary Biology,26000.0,1.0,2016-2017,,,-118.444563,34.071048
6893,Washington University in St. Louis (Wash U),Division of Biomedical and Biological Sciences,29500.0,1.43,2016-2017,3rd,,-90.311359,38.648015
6894,"University of California , Berkeley",Plant and Microbial Biology,34000.0,1.22,2016-2017,3rd,,-122.2591495,37.870498999999995
6895,University of Kentucky (UK),,23800.0,1.17,2016-2017,2nd,,-84.50858,38.025426
6896,University of Puerto Rico,Chemical Engineering,14500.0,,2016-2017,1st,,-111.996697,33.412107250000005
6898,"Rutgers the State University of New Jersey , New Brunswick",Gsbs,29604.0,1.15,2016-2017,5th,,-74.447763,40.50005625
6899,Washington University in St. Louis (Wash U),Neuroscience,29500.0,1.43,2016-2017,2nd,,-90.311359,38.648015
6900,"University of Texas , Austin (UT)",Eeb,25000.0,1.1,2016-2017,1st,,-97.734734,30.269594
6901,"University of California , Santa Barbara (UCSB)",MCDB,29900.0,1.14,2016-2017,3rd,,-119.84887,34.413272
6902,"University of Texas Southwestern Medical Center , Dallas",Molecular microbiology,28000.0,1.45,2014-2015,5th,,-96.858624,32.811842
6903,Ohio University (OU),Chemistry and biochemistry,16500.0,0.79,2016-2017,3rd,,-81.51,41.07
6904,"University of Texas , Austin (UT)",Molecular and cell,30000.0,1.31,2016-2017,1st,,-97.734734,30.269594
6905,Boston University (BU),Biochemistry,32500.0,1.23,2014-2015,4th,,-71.104588,42.350218
6906,"University of Colorado , Denver (UCD)",Structural Biology and Biochemistry,28500.0,1.27,2016-2017,1st,,-104.901369,39.760437
6907,"University of California , Riverside (UCR)",Biomedical Sciences,30000.0,1.24,2016-2017,3rd,,-117.327529,33.970224
6908,Thomas Jefferson University,Immunology ,28970.0,1.2,2016-2017,1st,,-75.157348,39.949751500000005
6909,University of Georgia (UGA),Microbiology,21930.0,1.04,2016-2017,2nd,,43.881434770301,42.3842114527972
6911,Pennsylvania State University (Penn State),Bmmb,27889.0,1.24,2016-2017,1st,,-77.86414400000001,40.801520749999995
6913,McMaster University,Biochemistry and Biomedical Sciences,24200.0,,2016-2017,2nd,,-79.9191015,43.2620975
6914,Thomas Jefferson University,Biochemistry and Molecular Pharmacology ,28000.0,1.16,2015-2016,6th and up,,-75.157348,39.949751500000005
6915,University of Pennsylvania,Cell and Molecular BIology,30000.0,1.24,2016-2017,6th and up,,-75.191259,39.9492625
6916,Stanford University (SU),Biosciences,42000.0,1.46,2016-2017,1st,,-115.114218,36.002823
6917,Ohio University (OU),Biological Sciences,21520.0,1.03,2016-2017,5th,,-81.51,41.07
6918,Columbia University (CU),Pathology,37224.0,1.25,2016-2017,2nd,,-74.08083,4.59889
6919,West Virginia University (WVU),health sciences,30000.0,1.34,2015-2016,4th,,-79.981236,39.6492345
6920,Harvard University (HU),Biological and Biomedical Sciences,36670.0,1.28,2016-2017,2nd,,-6.95,37.25
6921,"Stony Brook University , SUNY",Geosciences,28270.0,1.04,2014-2015,1st,Full health insurance included.,-73.124151,40.914502
6922,"University of California , San Diego (UCSD)",Chemistry and Biochemistry,29000.0,1.1,2016-2017,4th,"Not sure if I pay any other fees, I know the department does pay some. Just up from 27000 a couple years back.",-122.0575945,36.9901525
6923,Georgia State University (GSU),Biology ,18500.0,0.79,2016-2017,2nd,,-84.389137,33.756428
6924,University of Iowa (UI),Biology,26395.0,1.19,2016-2017,3rd,,-91.580951,41.674908
6925,"University of Wisconsin , Madison (UW)",Chemistry,24500.0,1.07,2016-2017,5th,,-89.408095,43.073243500000004
6926,Oregon Health and Science University,,28500.0,1.22,2016-2017,4th,,-122.68649575,45.499157249999996
6927,University of Washington (UW),Environmental and Occupational Health Sciences,23520.0,1.01,2016-2017,4th,"This is best case scenario, fully funded by PI. Otherwise, stipends are provided on a quarter to quarter basis and acquired through TA work and/or grant scraps.",-122.3076595,47.654538
6928,University of Utah,Pathology,26000.0,1.17,2016-2017,6th and up,,-111.837882,40.769755
6929,"University of North Carolina , Chapel Hill (UNC)",Pharamcology,29500.0,1.33,2016-2017,5th,,-79.049486,35.9083286875
6930,Ohio University (OU),Chemistry,18096.0,0.86,2015-2016,5th,The fees are what is not covered by the university's tuition waiver (basically the technology fee and the general grad student fee) plus the parking permit I have to purchase twice a year,-81.51,41.07
6931,"University of Wisconsin , Madison (UW)",Microbiology Doctoral Training Program ,25000.0,1.09,2016-2017,6th and up,,-89.408095,43.073243500000004
6932,"University of Wisconsin , Madison (UW)",Cancer Biology,26000.0,1.14,2016-2017,3rd,,-89.408095,43.073243500000004
6933,"Rutgers the State University of New Jersey , New Brunswick",,25969.0,1.01,2016-2017,4th,this is a TAship,-74.447763,40.50005625
6934,Ohio University (OU),Department of Chemistry & Biochemistry,18661.0,0.89,2015-2016,5th,"My pay is entirely based on a year round TA position that is officially for 15 hours a week. I usually average between 20 and 30 hours per week. The cost of living in my area is low, as its poverty stricken former coal country, so my stipend goes a little further than it would in a larger city. Living based just on my pay would be paycheck to paycheck if I didnt have strong family financial support. ",-81.51,41.07
6935,Ohio University (OU),Chemistry and Biochemistry,16642.0,0.79,2016-2017,3rd,,-81.51,41.07
6936,"University at Buffalo , SUNY",Finance,18800.0,0.89,2016-2017,1st,,103.776405,1.328776
6938,"University of Texas , Austin (UT)",Business,29000.0,1.27,2016-2017,1st,,-97.734734,30.269594
6939,New School,Sociology,20000.0,0.67,2016-2017,3rd,,-73.996482,40.736586
6940,University of Pennsylvania,Business,46000.0,1.91,2016-2017,3rd,,-75.191259,39.9492625
6941,University of Iowa (UI),Health and Human Physiology,18816.0,0.85,2016-2017,1st,,-91.580951,41.674908
6943,Columbia University (CU),Earth and Environmental Sciences,40000.0,1.35,2016-2017,2nd,Stipend supplemented with top-off for NSF GRFP (34k+6k),-74.08083,4.59889
6944,University of the Sciences in Philadelphia,Chemistry,20500.0,0.85,2015-2016,1st,,-75.2078135,39.946221
6945,University of Georgia (UGA),Higher Education,12680.0,0.6,2016-2017,1st,Tuition waved. Student pays health insurance $500 then UGA contributes $300.,43.881434770301,42.3842114527972
